city,latitude,longitude,temp,humidity,cloudiness,wind_speed
vestmannaeyjar,63.44,-20.27,49.37,97,76,6.2
vezirkopru,41.14,35.45,62.6,67,0,4.7
victoria,5.28,115.24,80.6,94,75,11.45
viedma,-40.81,-62.99,53.24,33,0,12.35
vila franca do campo,37.72,-25.43,71.6,83,75,11.41
vila velha,-3.71,-38.6,78.8,78,0,8.05
visnes,59.36,5.22,59,77,92,14.99
vostok,46.45,135.83,66.47,79,68,2.62
vung tau,10.35,107.08,78.8,100,75,6.93
waipawa,-39.94,176.59,51.98,97,92,15.03
wangou,42.06,126.91,72.05,92,44,3.62
wencheng,27.79,120.09,75.47,94,32,2.73
westerland,52.89,4.93,66.2,82,75,6.93
westport,53.8,-9.52,53.33,100,64,3.06
whyalla,-33.04,137.58,57.2,33,75,26.4
xining,36.62,101.77,55.67,97,44,3.18
xunchang,28.45,104.71,74.39,84,0,3.96
yar-sale,66.83,70.83,42.53,100,0,22.08
yarkovo,54.81,82.6,53.6,87,90,8.95
yellowknife,62.45,-114.38,59,51,40,5.82
yeniseysk,58.45,92.17,60.35,83,0,5.41
yerbogachen,61.28,108.01,53.42,71,0,5.19
yilan,24.75,121.75,84.2,83,75,1.12
yulara,-25.24,130.99,48.2,49,0,5.82
yumen,40.29,97.04,71.24,50,56,6.87
zhigalovo,54.81,105.15,54.23,76,88,2.73
zhoucheng,31.35,119.33,86,88,0,3.96
zlobin,45.29,14.65,78.8,44,0,2.24
zuya,45.05,34.32,60.08,83,8,2.39
zwettl,48.6,15.17,65.48,79,12,2.62
